ds,yhat,yhat_lower,yhat_upper,zone_id,zone_name
2024-01-16,1158.0687886241574,495.3016720219569,1836.079696547023,162,Midtown East
2024-01-17,1515.505490036144,861.8050344345902,2205.927154095528,162,Midtown East
2024-01-18,1540.454199221412,897.2665721824845,2229.053647465166,162,Midtown East
2024-01-19,938.3757038275069,278.6749251409584,1621.8476675029697,162,Midtown East
2024-01-20,493.02670580980987,0.0,1173.9360981826412,162,Midtown East
2024-01-21,343.7322210787724,0.0,1068.6013562589108,162,Midtown East
2024-01-22,1277.8854208968685,550.7990357889652,1914.9961430070982,162,Midtown East
2024-01-23,1989.9843066142341,1351.7760426152292,2653.708462011673,162,Midtown East
2024-01-24,2231.582122991943,1567.3168108920765,2944.7474615831948,162,Midtown East
2024-01-25,2283.0819557332798,1596.8416002251909,2958.596857667863,162,Midtown East
2024-01-26,1700.3100329134245,1012.3313430847511,2327.85751345108,162,Midtown East
2024-01-27,1260.7733304306712,629.6398159661935,1945.7244418661357,162,Midtown East
2024-01-28,1103.307439420685,432.3987678604133,1803.6825005140888,162,Midtown East
2024-01-29,2009.3897363480032,1295.8660707426257,2678.237442095866,162,Midtown East
2024-01-30,2685.8881798650555,2035.093235968615,3332.898129901952,162,Midtown East
